gene	KO	pathway	description
OCG00949	K03357	map04113	Meiosis - yeast
OCG00949	K03357	map04120	Ubiquitin mediated proteolysis
OCG00950	K12873	map03040	Spliceosome
OCG00952	K11092	map03040	Spliceosome
OCG00955	K10576	map04120	Ubiquitin mediated proteolysis
OCG00957	K01807	map00030	Pentose phosphate pathway
OCG00957	K01807	map01100	Metabolic pathways
OCG00957	K01807	map01110	Biosynthesis of secondary metabolites
OCG00957	K01807	map01200	Carbon metabolism
OCG00957	K01807	map01230	Biosynthesis of amino acids
OCG00958	K19054	map00860	Porphyrin metabolism
OCG00959	K02677	map04011	MAPK signaling pathway - yeast
OCG00959	K02677	map04070	Phosphatidylinositol signaling system
OCG00959	K02677	map04139	Mitophagy - yeast
OCG00963	K04630	map04113	Meiosis - yeast
OCG00964	K02147	map00190	Oxidative phosphorylation
OCG00964	K02147	map01100	Metabolic pathways
OCG00964	K02147	map04145	Phagosome
OCG00966	K03850	map00510	N-Glycan biosynthesis
OCG00966	K03850	map01100	Metabolic pathways
OCG00967	K12948	map03060	Protein export
OCG00968	K00817	map00340	Histidine metabolism
OCG00968	K00817	map00350	Tyrosine metabolism
OCG00968	K00817	map00360	Phenylalanine metabolism
OCG00968	K00817	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
OCG00968	K00817	map01100	Metabolic pathways
OCG00968	K00817	map01110	Biosynthesis of secondary metabolites
OCG00968	K00817	map01230	Biosynthesis of amino acids
OCG00969	K02905	map03010	Ribosome
OCG00971	K03358	map04111	Cell cycle - yeast
OCG00971	K03358	map04113	Meiosis - yeast
OCG00971	K03358	map04120	Ubiquitin mediated proteolysis
OCG00972	K00606	map00770	Pantothenate and CoA biosynthesis
OCG00972	K00606	map01100	Metabolic pathways
OCG00972	K00606	map01110	Biosynthesis of secondary metabolites
OCG00972	K00606	map01240	Biosynthesis of cofactors
OCG00973	K18278	map00730	Thiamine metabolism
OCG00973	K18278	map01100	Metabolic pathways
OCG00973	K18278	map01240	Biosynthesis of cofactors
OCG00976	K19787	map00340	Histidine metabolism
OCG00976	K19787	map01100	Metabolic pathways
OCG00977	K12184	map04144	Endocytosis
OCG00978	K08516	map04130	SNARE interactions in vesicular transport
OCG00978	K08516	map04138	Autophagy - yeast
OCG00979	K00851	map00030	Pentose phosphate pathway
OCG00979	K00851	map01100	Metabolic pathways
OCG00979	K00851	map01110	Biosynthesis of secondary metabolites
OCG00979	K00851	map01200	Carbon metabolism
OCG00983	K11128	map03008	Ribosome biogenesis in eukaryotes
OCG00984	K12572	map03018	RNA degradation
OCG00985	K02139	map00190	Oxidative phosphorylation
OCG00985	K02139	map01100	Metabolic pathways
OCG00986	K01952	map00230	Purine metabolism
OCG00986	K01952	map01100	Metabolic pathways
OCG00986	K01952	map01110	Biosynthesis of secondary metabolites
OCG00988	K00568	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
OCG00988	K00568	map01100	Metabolic pathways
OCG00988	K00568	map01110	Biosynthesis of secondary metabolites
OCG00988	K00568	map01240	Biosynthesis of cofactors
OCG00988	K00591	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
OCG00988	K00591	map01100	Metabolic pathways
OCG00988	K00591	map01110	Biosynthesis of secondary metabolites
OCG00988	K00591	map01240	Biosynthesis of cofactors
OCG00990	K03644	map00785	Lipoic acid metabolism
OCG00990	K03644	map01100	Metabolic pathways
OCG00990	K03644	map01240	Biosynthesis of cofactors
OCG00991	K07178	map03008	Ribosome biogenesis in eukaryotes
OCG00993	K15542	map03015	mRNA surveillance pathway
OCG00996	K02219	map04111	Cell cycle - yeast
OCG01005	K02882	map03010	Ribosome
OCG01007	K10956	map03060	Protein export
OCG01007	K10956	map04141	Protein processing in endoplasmic reticulum
OCG01007	K10956	map04145	Phagosome
OCG01010	K02729	map03050	Proteasome
OCG01013	K02932	map03010	Ribosome
OCG01014	K13025	map03013	Nucleocytoplasmic transport
OCG01014	K13025	map03015	mRNA surveillance pathway
OCG01014	K13025	map03040	Spliceosome
OCG01015	K10591	map04011	MAPK signaling pathway - yeast
OCG01015	K10591	map04120	Ubiquitin mediated proteolysis
OCG01015	K10591	map04144	Endocytosis
OCG01016	K01875	map00970	Aminoacyl-tRNA biosynthesis
OCG01019	K02214	map04111	Cell cycle - yeast
OCG01019	K02214	map04113	Meiosis - yeast
OCG01020	K03027	map03020	RNA polymerase
OCG01021	K02876	map03010	Ribosome
OCG01022	K22503	map00970	Aminoacyl-tRNA biosynthesis
OCG01026	K00938	map00900	Terpenoid backbone biosynthesis
OCG01026	K00938	map01100	Metabolic pathways
OCG01026	K00938	map01110	Biosynthesis of secondary metabolites
OCG01028	K00797	map00270	Cysteine and methionine metabolism
OCG01028	K00797	map00330	Arginine and proline metabolism
OCG01028	K00797	map00480	Glutathione metabolism
OCG01028	K00797	map01100	Metabolic pathways
OCG01031	K02731	map03050	Proteasome
OCG01032	K14574	map03008	Ribosome biogenesis in eukaryotes
OCG01033	K00844	map00010	Glycolysis / Gluconeogenesis
OCG01033	K00844	map00051	Fructose and mannose metabolism
OCG01033	K00844	map00052	Galactose metabolism
OCG01033	K00844	map00500	Starch and sucrose metabolism
OCG01033	K00844	map00520	Amino sugar and nucleotide sugar metabolism
OCG01033	K00844	map01100	Metabolic pathways
OCG01033	K00844	map01110	Biosynthesis of secondary metabolites
OCG01033	K00844	map01200	Carbon metabolism
OCG01033	K00844	map01250	Biosynthesis of nucleotide sugars
OCG01034	K00589	map00860	Porphyrin metabolism
OCG01034	K00589	map01100	Metabolic pathways
OCG01034	K00589	map01110	Biosynthesis of secondary metabolites
OCG01034	K00589	map01240	Biosynthesis of cofactors
OCG01038	K00942	map00230	Purine metabolism
OCG01038	K00942	map01100	Metabolic pathways
OCG01038	K00942	map01232	Nucleotide metabolism
OCG01039	K03265	map03015	mRNA surveillance pathway
OCG01041	K03941	map00190	Oxidative phosphorylation
OCG01041	K03941	map01100	Metabolic pathways
OCG01045	K01953	map00250	Alanine, aspartate and glutamate metabolism
OCG01045	K01953	map01100	Metabolic pathways
OCG01045	K01953	map01110	Biosynthesis of secondary metabolites
OCG01045	K01953	map01230	Biosynthesis of amino acids
OCG01046	K02210	map03030	DNA replication
OCG01046	K02210	map04111	Cell cycle - yeast
OCG01046	K02210	map04113	Meiosis - yeast
OCG01047	K17065	map04139	Mitophagy - yeast
OCG01048	K14002	map04141	Protein processing in endoplasmic reticulum
OCG01050	K00958	map00230	Purine metabolism
OCG01050	K00958	map00261	Monobactam biosynthesis
OCG01050	K00958	map00450	Selenocompound metabolism
OCG01050	K00958	map00920	Sulfur metabolism
OCG01050	K00958	map01100	Metabolic pathways
OCG01050	K00958	map01110	Biosynthesis of secondary metabolites
OCG01052	K03885	map00190	Oxidative phosphorylation
OCG01052	K03885	map01100	Metabolic pathways
OCG01057	K12858	map03040	Spliceosome
OCG01058	K12614	map03018	RNA degradation
OCG01059	K02728	map03050	Proteasome
OCG01067	K03061	map03050	Proteasome
OCG01068	K03940	map00190	Oxidative phosphorylation
OCG01068	K03940	map01100	Metabolic pathways
OCG01070	K20279	map00562	Inositol phosphate metabolism
OCG01070	K20279	map01100	Metabolic pathways
OCG01070	K20279	map04070	Phosphatidylinositol signaling system
OCG01072	K04567	map00970	Aminoacyl-tRNA biosynthesis
OCG01073	K03679	map03018	RNA degradation
OCG01075	K03038	map03050	Proteasome
OCG01076	K01733	map00260	Glycine, serine and threonine metabolism
OCG01076	K01733	map00750	Vitamin B6 metabolism
OCG01076	K01733	map01100	Metabolic pathways
OCG01076	K01733	map01110	Biosynthesis of secondary metabolites
OCG01076	K01733	map01230	Biosynthesis of amino acids
OCG01079	K12843	map03040	Spliceosome
OCG01084	K01915	map00220	Arginine biosynthesis
OCG01084	K01915	map00250	Alanine, aspartate and glutamate metabolism
OCG01084	K01915	map00630	Glyoxylate and dicarboxylate metabolism
OCG01084	K01915	map00910	Nitrogen metabolism
OCG01084	K01915	map01100	Metabolic pathways
OCG01084	K01915	map01230	Biosynthesis of amino acids
OCG01085	K14007	map04141	Protein processing in endoplasmic reticulum
OCG01086	K01641	map00280	Valine, leucine and isoleucine degradation
OCG01086	K01641	map00650	Butanoate metabolism
OCG01086	K01641	map00900	Terpenoid backbone biosynthesis
OCG01086	K01641	map01100	Metabolic pathways
OCG01086	K01641	map01110	Biosynthesis of secondary metabolites
OCG01087	K07374	map04145	Phagosome
OCG01089	K03015	map03020	RNA polymerase
OCG01090	K02871	map03010	Ribosome
OCG01096	K00729	map00510	N-Glycan biosynthesis
OCG01096	K00729	map01100	Metabolic pathways
OCG01097	K01889	map00970	Aminoacyl-tRNA biosynthesis
OCG01098	K14293	map03013	Nucleocytoplasmic transport
OCG01100	K14537	map03008	Ribosome biogenesis in eukaryotes
OCG01101	K14538	map03008	Ribosome biogenesis in eukaryotes
OCG01102	K01783	map00030	Pentose phosphate pathway
OCG01102	K01783	map00040	Pentose and glucuronate interconversions
OCG01102	K01783	map01100	Metabolic pathways
OCG01102	K01783	map01110	Biosynthesis of secondary metabolites
OCG01102	K01783	map01200	Carbon metabolism
OCG01102	K01783	map01230	Biosynthesis of amino acids
OCG01105	K08294	map04011	MAPK signaling pathway - yeast
OCG01105	K08294	map04139	Mitophagy - yeast
OCG01106	K10754	map03030	DNA replication
OCG01106	K10754	map03420	Nucleotide excision repair
OCG01106	K10754	map03430	Mismatch repair
OCG01107	K02917	map03010	Ribosome
OCG01108	K02151	map00190	Oxidative phosphorylation
OCG01108	K02151	map01100	Metabolic pathways
OCG01108	K02151	map04145	Phagosome
OCG01109	K00287	map00670	One carbon pool by folate
OCG01109	K00287	map00790	Folate biosynthesis
OCG01109	K00287	map01100	Metabolic pathways
OCG01109	K00287	map01240	Biosynthesis of cofactors
OCG01110	K13344	map04146	Peroxisome
OCG01112	K02929	map03010	Ribosome
OCG01113	K12275	map03060	Protein export
OCG01113	K12275	map04141	Protein processing in endoplasmic reticulum
OCG01114	K13126	map03015	mRNA surveillance pathway
OCG01114	K13126	map03018	RNA degradation
OCG01115	K06126	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
OCG01115	K06126	map01100	Metabolic pathways
OCG01115	K06126	map01110	Biosynthesis of secondary metabolites
OCG01115	K06126	map01240	Biosynthesis of cofactors
OCG01117	K05824	map00300	Lysine biosynthesis
OCG01117	K05824	map01100	Metabolic pathways
OCG01117	K05824	map01110	Biosynthesis of secondary metabolites
OCG01117	K05824	map01210	2-Oxocarboxylic acid metabolism
OCG01117	K05824	map01230	Biosynthesis of amino acids
OCG01119	K05355	map00900	Terpenoid backbone biosynthesis
OCG01119	K05355	map01110	Biosynthesis of secondary metabolites
OCG01120	K01194	map00500	Starch and sucrose metabolism
OCG01120	K01194	map01100	Metabolic pathways
OCG01120	K01194	map01110	Biosynthesis of secondary metabolites
OCG01121	K01940	map00220	Arginine biosynthesis
OCG01121	K01940	map00250	Alanine, aspartate and glutamate metabolism
OCG01121	K01940	map01100	Metabolic pathways
OCG01121	K01940	map01110	Biosynthesis of secondary metabolites
OCG01121	K01940	map01230	Biosynthesis of amino acids
OCG01122	K03133	map03022	Basal transcription factors
OCG01126	K01254	map00590	Arachidonic acid metabolism
OCG01126	K01254	map01100	Metabolic pathways
OCG01126	K15428	map00480	Glutathione metabolism
OCG01126	K15428	map01100	Metabolic pathways
OCG01127	K00721	map00510	N-Glycan biosynthesis
OCG01127	K00721	map01100	Metabolic pathways
OCG01128	K00039	map00040	Pentose and glucuronate interconversions
OCG01128	K00039	map01100	Metabolic pathways
OCG01128	K04708	map00600	Sphingolipid metabolism
OCG01128	K04708	map01100	Metabolic pathways
OCG01129	K12771	map04113	Meiosis - yeast
OCG01129	K21618	map00620	Pyruvate metabolism
OCG01129	K21618	map01100	Metabolic pathways
OCG01132	K19842	map04011	MAPK signaling pathway - yeast
OCG01133	K05692	map04145	Phagosome
OCG01134	K02437	map00260	Glycine, serine and threonine metabolism
OCG01134	K02437	map00630	Glyoxylate and dicarboxylate metabolism
OCG01134	K02437	map01100	Metabolic pathways
OCG01134	K02437	map01110	Biosynthesis of secondary metabolites
OCG01134	K02437	map01200	Carbon metabolism
OCG01135	K13525	map04141	Protein processing in endoplasmic reticulum
OCG01136	K03264	map03008	Ribosome biogenesis in eukaryotes
OCG01137	K06269	map03015	mRNA surveillance pathway
OCG01137	K06269	map04113	Meiosis - yeast
OCG01139	K01611	map00270	Cysteine and methionine metabolism
OCG01139	K01611	map00330	Arginine and proline metabolism
OCG01139	K01611	map01100	Metabolic pathways
OCG01140	K01764	map00860	Porphyrin metabolism
OCG01140	K01764	map01100	Metabolic pathways
OCG01141	K03845	map00510	N-Glycan biosynthesis
OCG01141	K03845	map00513	Various types of N-glycan biosynthesis
OCG01141	K03845	map01100	Metabolic pathways
OCG01142	K00549	map00270	Cysteine and methionine metabolism
OCG01142	K00549	map00450	Selenocompound metabolism
OCG01142	K00549	map01100	Metabolic pathways
OCG01142	K00549	map01110	Biosynthesis of secondary metabolites
OCG01142	K00549	map01230	Biosynthesis of amino acids
OCG01147	K02900	map03010	Ribosome
OCG01148	K12849	map03040	Spliceosome
OCG01152	K00728	map00514	Other types of O-glycan biosynthesis
OCG01152	K00728	map00515	Mannose type O-glycan biosynthesis
OCG01152	K00728	map01100	Metabolic pathways
OCG01153	K00995	map00564	Glycerophospholipid metabolism
OCG01153	K00995	map01100	Metabolic pathways
OCG01155	K03002	map03020	RNA polymerase
OCG01156	K02993	map03010	Ribosome
OCG01158	K12869	map03040	Spliceosome
OCG01159	K07151	map00510	N-Glycan biosynthesis
OCG01159	K07151	map00513	Various types of N-glycan biosynthesis
OCG01159	K07151	map01100	Metabolic pathways
OCG01159	K07151	map04141	Protein processing in endoplasmic reticulum
OCG01161	K02976	map03010	Ribosome
OCG01162	K06674	map04111	Cell cycle - yeast
OCG01163	K12599	map03018	RNA degradation
OCG01164	K12598	map03018	RNA degradation
OCG01165	K00728	map00514	Other types of O-glycan biosynthesis
OCG01165	K00728	map00515	Mannose type O-glycan biosynthesis
OCG01165	K00728	map01100	Metabolic pathways
OCG01166	K07936	map03008	Ribosome biogenesis in eukaryotes
OCG01166	K07936	map03013	Nucleocytoplasmic transport
OCG01166	K07936	map03250	Viral life cycle - HIV-1
OCG01168	K02737	map03050	Proteasome
OCG01171	K13800	map00240	Pyrimidine metabolism
OCG01171	K13800	map01100	Metabolic pathways
OCG01171	K13800	map01232	Nucleotide metabolism
OCG01171	K13800	map01240	Biosynthesis of cofactors
OCG01172	K01687	map00290	Valine, leucine and isoleucine biosynthesis
OCG01172	K01687	map00770	Pantothenate and CoA biosynthesis
OCG01172	K01687	map01100	Metabolic pathways
OCG01172	K01687	map01110	Biosynthesis of secondary metabolites
OCG01172	K01687	map01210	2-Oxocarboxylic acid metabolism
OCG01172	K01687	map01230	Biosynthesis of amino acids
OCG01174	K00931	map00330	Arginine and proline metabolism
OCG01174	K00931	map00332	Carbapenem biosynthesis
OCG01174	K00931	map01100	Metabolic pathways
OCG01174	K00931	map01110	Biosynthesis of secondary metabolites
OCG01174	K00931	map01230	Biosynthesis of amino acids
OCG01179	K12828	map03040	Spliceosome
OCG01180	K01490	map00230	Purine metabolism
OCG01180	K01490	map01100	Metabolic pathways
OCG01180	K01490	map01110	Biosynthesis of secondary metabolites
OCG01180	K01490	map01232	Nucleotide metabolism
OCG01181	K01613	map00564	Glycerophospholipid metabolism
OCG01181	K01613	map01100	Metabolic pathways
OCG01181	K01613	map01110	Biosynthesis of secondary metabolites
OCG01182	K01874	map00450	Selenocompound metabolism
OCG01182	K01874	map00970	Aminoacyl-tRNA biosynthesis
OCG01182	K01874	map01100	Metabolic pathways
OCG01183	K02202	map03022	Basal transcription factors
OCG01183	K02202	map03420	Nucleotide excision repair
OCG01185	K04441	map04011	MAPK signaling pathway - yeast
OCG01185	K04441	map04139	Mitophagy - yeast
OCG01186	K01698	map00860	Porphyrin metabolism
OCG01186	K01698	map01100	Metabolic pathways
OCG01186	K01698	map01110	Biosynthesis of secondary metabolites
OCG01186	K01698	map01240	Biosynthesis of cofactors
OCG01187	K01890	map00970	Aminoacyl-tRNA biosynthesis
OCG01188	K02896	map03010	Ribosome
OCG01191	K01653	map00290	Valine, leucine and isoleucine biosynthesis
OCG01191	K01653	map00650	Butanoate metabolism
OCG01191	K01653	map00660	C5-Branched dibasic acid metabolism
OCG01191	K01653	map00770	Pantothenate and CoA biosynthesis
OCG01191	K01653	map01100	Metabolic pathways
OCG01191	K01653	map01110	Biosynthesis of secondary metabolites
OCG01191	K01653	map01210	2-Oxocarboxylic acid metabolism
OCG01191	K01653	map01230	Biosynthesis of amino acids
OCG01192	K03657	map03420	Nucleotide excision repair
OCG01192	K03657	map03430	Mismatch repair
OCG01194	K00641	map00270	Cysteine and methionine metabolism
OCG01194	K00641	map00920	Sulfur metabolism
OCG01194	K00641	map01100	Metabolic pathways
OCG01194	K00641	map01110	Biosynthesis of secondary metabolites
OCG01194	K00641	map01230	Biosynthesis of amino acids
OCG01196	K18423	map03013	Nucleocytoplasmic transport
OCG01198	K03094	map04111	Cell cycle - yeast
OCG01198	K03094	map04120	Ubiquitin mediated proteolysis
OCG01198	K03094	map04141	Protein processing in endoplasmic reticulum
OCG01199	K06685	map04111	Cell cycle - yeast
OCG01199	K06685	map04392	Hippo signaling pathway - multiple species
OCG01200	K01885	map00860	Porphyrin metabolism
OCG01200	K01885	map00970	Aminoacyl-tRNA biosynthesis
OCG01200	K01885	map01100	Metabolic pathways
OCG01200	K01885	map01110	Biosynthesis of secondary metabolites
OCG01200	K01885	map01240	Biosynthesis of cofactors
OCG01201	K00772	map00270	Cysteine and methionine metabolism
OCG01201	K00772	map01100	Metabolic pathways
OCG01207	K13519	map00561	Glycerolipid metabolism
OCG01207	K13519	map00564	Glycerophospholipid metabolism
OCG01207	K13519	map00565	Ether lipid metabolism
OCG01207	K13519	map01100	Metabolic pathways
OCG01207	K13519	map01110	Biosynthesis of secondary metabolites
OCG01208	K02950	map03010	Ribosome
OCG01209	K06677	map04111	Cell cycle - yeast
OCG01211	K00927	map00010	Glycolysis / Gluconeogenesis
OCG01211	K00927	map01100	Metabolic pathways
OCG01211	K00927	map01110	Biosynthesis of secondary metabolites
OCG01211	K00927	map01200	Carbon metabolism
OCG01211	K00927	map01230	Biosynthesis of amino acids
OCG01213	K03000	map03020	RNA polymerase
OCG01214	K04382	map03015	mRNA surveillance pathway
OCG01214	K04382	map04111	Cell cycle - yeast
OCG01214	K04382	map04113	Meiosis - yeast
OCG01214	K04382	map04136	Autophagy - other
OCG01214	K04382	map04138	Autophagy - yeast
OCG01215	K02145	map00190	Oxidative phosphorylation
OCG01215	K02145	map01100	Metabolic pathways
OCG01215	K02145	map04145	Phagosome
OCG01216	K03347	map04111	Cell cycle - yeast
OCG01216	K03347	map04120	Ubiquitin mediated proteolysis
OCG01216	K03347	map04141	Protein processing in endoplasmic reticulum
OCG01222	K02889	map03010	Ribosome
OCG01223	K17497	map00051	Fructose and mannose metabolism
OCG01223	K17497	map00520	Amino sugar and nucleotide sugar metabolism
OCG01223	K17497	map01100	Metabolic pathways
OCG01223	K17497	map01110	Biosynthesis of secondary metabolites
OCG01223	K17497	map01240	Biosynthesis of cofactors
OCG01223	K17497	map01250	Biosynthesis of nucleotide sugars
OCG01224	K02866	map03010	Ribosome
OCG01227	K14569	map03008	Ribosome biogenesis in eukaryotes
OCG01229	K01872	map00970	Aminoacyl-tRNA biosynthesis
OCG01230	K00820	map00250	Alanine, aspartate and glutamate metabolism
OCG01230	K00820	map00520	Amino sugar and nucleotide sugar metabolism
OCG01230	K00820	map01100	Metabolic pathways
OCG01230	K00820	map01250	Biosynthesis of nucleotide sugars
OCG01232	K00235	map00020	Citrate cycle (TCA cycle)
OCG01232	K00235	map00190	Oxidative phosphorylation
OCG01232	K00235	map01100	Metabolic pathways
OCG01232	K00235	map01110	Biosynthesis of secondary metabolites
OCG01232	K00235	map01200	Carbon metabolism
OCG01233	K13350	map04146	Peroxisome
OCG01235	K02896	map03010	Ribosome
OCG01237	K00226	map00240	Pyrimidine metabolism
OCG01237	K00226	map01100	Metabolic pathways
OCG01237	K00226	map01240	Biosynthesis of cofactors
OCG01237	K00254	map00240	Pyrimidine metabolism
OCG01237	K00254	map01100	Metabolic pathways
OCG01237	K00254	map01240	Biosynthesis of cofactors
OCG01238	K14564	map03008	Ribosome biogenesis in eukaryotes
OCG01239	K03934	map00190	Oxidative phosphorylation
OCG01239	K03934	map01100	Metabolic pathways
OCG01243	K02935	map03010	Ribosome
OCG01244	K04482	map03440	Homologous recombination
OCG01247	K09490	map03060	Protein export
OCG01247	K09490	map04141	Protein processing in endoplasmic reticulum
OCG01248	K01873	map00970	Aminoacyl-tRNA biosynthesis
OCG01249	K06684	map04111	Cell cycle - yeast
OCG01249	K06684	map04392	Hippo signaling pathway - multiple species
OCG01249	K06686	map04111	Cell cycle - yeast
OCG01250	K10747	map03030	DNA replication
OCG01250	K10747	map03410	Base excision repair
OCG01250	K10747	map03420	Nucleotide excision repair
OCG01250	K10747	map03430	Mismatch repair
OCG01251	K02730	map03050	Proteasome
OCG01252	K03842	map00510	N-Glycan biosynthesis
OCG01252	K03842	map00513	Various types of N-glycan biosynthesis
OCG01252	K03842	map01100	Metabolic pathways
OCG01253	K14004	map03013	Nucleocytoplasmic transport
OCG01253	K14004	map04141	Protein processing in endoplasmic reticulum
OCG01255	K12663	map04146	Peroxisome
OCG01256	K01867	map00970	Aminoacyl-tRNA biosynthesis
OCG01256	K02946	map03010	Ribosome
OCG01257	K00953	map00740	Riboflavin metabolism
OCG01257	K00953	map01100	Metabolic pathways
OCG01257	K00953	map01110	Biosynthesis of secondary metabolites
OCG01257	K00953	map01240	Biosynthesis of cofactors
OCG01258	K01638	map00620	Pyruvate metabolism
OCG01258	K01638	map00630	Glyoxylate and dicarboxylate metabolism
OCG01258	K01638	map01100	Metabolic pathways
OCG01258	K01638	map01110	Biosynthesis of secondary metabolites
OCG01258	K01638	map01200	Carbon metabolism
OCG01259	K11088	map03040	Spliceosome
OCG01259	K11088	map04139	Mitophagy - yeast
OCG01261	K01693	map00340	Histidine metabolism
OCG01261	K01693	map01100	Metabolic pathways
OCG01261	K01693	map01110	Biosynthesis of secondary metabolites
OCG01261	K01693	map01230	Biosynthesis of amino acids
OCG01262	K02995	map03010	Ribosome
OCG01266	K10843	map03022	Basal transcription factors
OCG01266	K10843	map03420	Nucleotide excision repair
OCG01270	K01754	map00260	Glycine, serine and threonine metabolism
OCG01270	K01754	map00290	Valine, leucine and isoleucine biosynthesis
OCG01270	K01754	map01100	Metabolic pathways
OCG01270	K01754	map01110	Biosynthesis of secondary metabolites
OCG01270	K01754	map01200	Carbon metabolism
OCG01270	K01754	map01230	Biosynthesis of amino acids
OCG01271	K02947	map03010	Ribosome
OCG01272	K02127	map00190	Oxidative phosphorylation
OCG01272	K02127	map01100	Metabolic pathways
OCG01274	K00290	map00300	Lysine biosynthesis
OCG01274	K00290	map00310	Lysine degradation
OCG01274	K00290	map01100	Metabolic pathways
OCG01274	K00290	map01110	Biosynthesis of secondary metabolites
OCG01274	K00290	map01230	Biosynthesis of amino acids
OCG01275	K03353	map04111	Cell cycle - yeast
OCG01275	K03353	map04113	Meiosis - yeast
OCG01275	K03353	map04120	Ubiquitin mediated proteolysis
OCG01276	K00326	map00520	Amino sugar and nucleotide sugar metabolism
OCG01277	K00928	map00260	Glycine, serine and threonine metabolism
OCG01277	K00928	map00261	Monobactam biosynthesis
OCG01277	K00928	map00270	Cysteine and methionine metabolism
OCG01277	K00928	map00300	Lysine biosynthesis
OCG01277	K00928	map01100	Metabolic pathways
OCG01277	K00928	map01110	Biosynthesis of secondary metabolites
OCG01277	K00928	map01210	2-Oxocarboxylic acid metabolism
OCG01277	K00928	map01230	Biosynthesis of amino acids
OCG01278	K01739	map00270	Cysteine and methionine metabolism
OCG01278	K01739	map00450	Selenocompound metabolism
OCG01278	K01739	map00920	Sulfur metabolism
OCG01278	K01739	map01100	Metabolic pathways
OCG01278	K01739	map01110	Biosynthesis of secondary metabolites
OCG01278	K01739	map01230	Biosynthesis of amino acids
OCG01281	K02873	map03010	Ribosome
OCG01284	K16066	map00240	Pyrimidine metabolism
OCG01284	K16066	map00260	Glycine, serine and threonine metabolism
OCG01284	K16066	map01100	Metabolic pathways
OCG01285	K14168	map04122	Sulfur relay system
OCG01288	K02930	map03010	Ribosome
OCG01291	K10756	map03030	DNA replication
OCG01291	K10756	map03420	Nucleotide excision repair
OCG01291	K10756	map03430	Mismatch repair
OCG01292	K01228	map00510	N-Glycan biosynthesis
OCG01292	K01228	map01100	Metabolic pathways
OCG01292	K01228	map04141	Protein processing in endoplasmic reticulum
OCG01293	K01694	map00260	Glycine, serine and threonine metabolism
OCG01293	K01694	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
OCG01293	K01694	map01100	Metabolic pathways
OCG01293	K01694	map01110	Biosynthesis of secondary metabolites
OCG01293	K01694	map01230	Biosynthesis of amino acids
OCG01293	K10882	map03440	Homologous recombination
OCG01295	K01637	map00630	Glyoxylate and dicarboxylate metabolism
OCG01295	K01637	map01100	Metabolic pathways
OCG01295	K01637	map01110	Biosynthesis of secondary metabolites
OCG01295	K01637	map01200	Carbon metabolism
OCG01297	K02915	map03010	Ribosome
OCG01299	K02685	map03030	DNA replication
OCG01300	K03935	map00190	Oxidative phosphorylation
OCG01300	K03935	map01100	Metabolic pathways
OCG01301	K00793	map00740	Riboflavin metabolism
OCG01301	K00793	map01100	Metabolic pathways
OCG01301	K00793	map01110	Biosynthesis of secondary metabolites
OCG01301	K00793	map01240	Biosynthesis of cofactors
OCG01302	K06660	map04111	Cell cycle - yeast
OCG01302	K06660	map04113	Meiosis - yeast
OCG01303	K03008	map03020	RNA polymerase
OCG01306	K02727	map03050	Proteasome
OCG01307	K13333	map00564	Glycerophospholipid metabolism
OCG01309	K00700	map00500	Starch and sucrose metabolism
OCG01309	K00700	map01100	Metabolic pathways
OCG01309	K00700	map01110	Biosynthesis of secondary metabolites
OCG01309	K02133	map00190	Oxidative phosphorylation
OCG01309	K02133	map01100	Metabolic pathways
OCG01310	K12812	map03013	Nucleocytoplasmic transport
OCG01310	K12812	map03015	mRNA surveillance pathway
OCG01310	K12812	map03040	Spliceosome
OCG01311	K00819	map00330	Arginine and proline metabolism
OCG01311	K00819	map01100	Metabolic pathways
OCG01311	K00819	map01110	Biosynthesis of secondary metabolites
OCG01313	K02734	map03050	Proteasome
OCG01315	K00380	map00920	Sulfur metabolism
OCG01315	K00380	map01100	Metabolic pathways
OCG01317	K00281	map00260	Glycine, serine and threonine metabolism
OCG01317	K00281	map00630	Glyoxylate and dicarboxylate metabolism
OCG01317	K00281	map01100	Metabolic pathways
OCG01317	K00281	map01110	Biosynthesis of secondary metabolites
OCG01317	K00281	map01200	Carbon metabolism
OCG01318	K12580	map03018	RNA degradation
OCG01319	K14556	map03008	Ribosome biogenesis in eukaryotes
OCG01320	K06127	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
OCG01320	K06127	map01100	Metabolic pathways
OCG01320	K06127	map01110	Biosynthesis of secondary metabolites
OCG01320	K06127	map01240	Biosynthesis of cofactors
OCG01321	K13339	map04146	Peroxisome
OCG01323	K12818	map03040	Spliceosome
OCG01324	K03033	map03050	Proteasome
OCG01324	K03126	map03022	Basal transcription factors
OCG01326	K02973	map03010	Ribosome
OCG01329	K00914	map00562	Inositol phosphate metabolism
OCG01329	K00914	map01100	Metabolic pathways
OCG01329	K00914	map04070	Phosphatidylinositol signaling system
OCG01329	K00914	map04136	Autophagy - other
OCG01329	K00914	map04138	Autophagy - yeast
OCG01329	K00914	map04145	Phagosome
OCG01333	K01880	map00970	Aminoacyl-tRNA biosynthesis
